name,latitude,longitude
Zakhan-e Pa'in,35.0026,47.3694
Yusofabad,34.95,46.96667
Iladahreh,34.13333,47.75
Veysabad,34.03333,47.7
Vanu,34.1398,47.6715
Vakil Aqa,34.31572,47.05186
Tappeh Sorkheh,34.35,47.36667
Somaqestan-e `Olya,34.61667,47.6
Shah Mey,34.33333,47.78333
Shah Kuh,34.83333,46.58333
Seyyed `Ali,34.0623,47.6768
Sefid Do Deh,34.45,46.86667
Sayahvand,34.4461,46.5365
Tavileh Gah,34.4937,47.9039
Sarab-e Sar-e Zan,34.03333,47.6
Sarab-e Garm,34.05,47.83333
Sarab Bayan,34.35,47.63333
Sar Choqa-ye Bala,34.11667,47.9
Salarabad,35,47.61667
Simin Darreh,34.9571,47.0359
Qarah Qowyun,34.4508,47.1434
Qanchi Gol,34.31667,46.53333
Qaqelestan,34.5448,46.9551
Pashgaleh-ye Sofla,34.139,47.4947
Pa Qal`eh,34.56667,47.11667
Nowruzabad,34.1961,47.9316
Nosratabad,34.9612,47.2637
Nafteh,34.4812,46.8804
Molkhatavi,34.0551,46.715
Mudar Mard,34.18333,47.68333
Makalani,34.36667,46.58333
Mahidasht,34.26667,46.78333
Mirabad,34.1748,47.7484
Loril,34.4886,46.5308
Kuygar,34.85,46.8
Goreh Choqay,34.4568,46.996
Kur Kura,34.2857,46.769
Kol Kol-e Bala,34.21667,46.76667
Khersabad,34.4864,46.7399
Khalilollah,34.5893,47.2267
Kasan Taraz,34,46.51667
Kalga Darreh,34.4,47.81667
Kahriz,34.0826,47.7198
Kazemabad,34.9384,47.5533
Gowyjeh,34.23333,47.01667
Gav Godar,34.68333,47.86667
Gashur-e Ommid,34.25,47.71667
Fashkhvoran,34.5524,47.9451
Dowkushkan-e Reza Khani,34.1786,46.9407
Deh-e Sanan,34.2058,47.5646
Deh Kur,34.5082,46.8987
Darkeh-ye Hasankhan,34.3287,46.9413
Darkeh,34.3,46.95
Dali Dombarreh,34.01667,47.96667
Dakal-e Haltushan,34.91667,46.98333
Dinarabad,34.03333,47.73333
Cheshmeh Kuzan,34.11667,47.56667
Cheshmeh Kabud,34.5555,47.3287
Cheshmeh Kabud-e Karfelah,34.1729,47.3661
Cheraghabad,34.1544,47.8492
Cheraghabad,34.0337,47.2566
Chalab,34.06667,47.61667
Burbura,34.1004,47.562
Boq`eh-ye Malek,34.78333,47.58333
Boncheleh,34.7999,46.5865
Balut Bazeh,34.025,47.781
Bagh-e Yasam,34.01667,47.31667
Azreh-ye `Abbasabad,34.4329,46.6537
Aq Bolagh-e Bala,34.03333,47.85
Aq Bolagh,34.01667,47.83333
Hoseynabad-e Amjadi,35,47.45
Hoseynabad,34.4832,47.4786
Heydarabad,34.03333,47.08333
Hesar-e Sefid,34.3305,47.1594
Hasanabad-e Sanjabi,34.1356,47.9437
Hasanabad,34.08333,47.01667
Hajjiabad-e Sofla,34.1729,46.8936
Qal`eh-ye Hajjiabad,34.0462,46.8946
`Aliabad,34.7522,46.5419
Bimak,36.31212,51.83628
Banulu,36.26692,52.06565
Laskuti,36.26523,52.07088
Suteh Talar,36.2,52.05
Sardarabad,36.68333,51.38333
Raziyeh,36.16667,52.23333
Chandar Mahalleh,36.24036,52.2293
Nujmeh,36.27508,52.17176
Langar Chal,36.27298,52.20119
Qazi Kola,36.27036,52.23073
Kapin,36.23311,52.25055
`Emarat,36.23333,52.35
Mangol,36.25,52.36667
Mo`allem Kuh,36.75,51.03333
Kitajan,36.3,52.41667
Azad Koti,36.3,52.38333
Karsank,36.29543,52.3653
Shirdar Khal,36.33333,52.41667
Lalehzar,36.36667,52.5
Zavarak,36.4,52.45
Chal Sara,36.38333,52.38333
Sang Darka,36.34663,52.25771
Shahrdar Mahalleh,36.4,51.98333
Gali Khamand,36.35473,51.93251
Sang-e Vares,36.65,51.31667
