name,latitude,longitude
Sefīd Do Deh,34.45,46.86667
Sāyahvand,34.4461,46.5365
Ţavīleh Gāh,34.4937,47.9039
Sarāb-e Sar-e Zan,34.03333,47.6
Sarāb-e Garm,34.05,47.83333
Sarāb Bayān,34.35,47.63333
Sar Choqā-ye Bālā,34.11667,47.9
Sālārābād,35,47.61667
Sīmīn Darreh,34.9571,47.0359
Qarah Qowyūn,34.4508,47.1434
Qānchī Gol,34.31667,46.53333
Qāqelestān,34.5448,46.9551
Pashgaleh-ye Soflá,34.139,47.4947
Pā Qal‘eh,34.56667,47.11667
Nowrūzābād,34.1961,47.9316
Noşratābād,34.9612,47.2637
Nafteh,34.4812,46.8804
Molkhaţāvī,34.0551,46.715
Mūdār Mard,34.18333,47.68333
Mākalānī,34.36667,46.58333
Māhīdasht,34.26667,46.78333
Mīrābād,34.1748,47.7484
Lorīl,34.4886,46.5308
Kūygār,34.85,46.8
Goreh Choqāy,34.4568,46.996
Kūr Kūrā,34.2857,46.769
Kol Kol-e Bālā,34.21667,46.76667
Khersābād,34.4864,46.7399
Khalīlollāh,34.5893,47.2267
Kasān Tarāz,34,46.51667
Kalgā Darreh,34.4,47.81667
Kahrīz,34.0826,47.7198
Kāz̧emābād,34.9384,47.5533
Gowyjeh,34.23333,47.01667
Gāv Godār,34.68333,47.86667
Gashūr-e Ommīd,34.25,47.71667
Fashkhvorān,34.5524,47.9451
Dowkūshkān-e Reẕā Khānī,34.1786,46.9407
Deh-e Sanān,34.2058,47.5646
Deh Kūr,34.5082,46.8987
Darkeh-ye Ḩasankhān,34.3287,46.9413
Darkeh,34.3,46.95
Dālī Dombarreh,34.01667,47.96667
Dakal-e Haltūshān,34.91667,46.98333
Dīnārābād,34.03333,47.73333
Cheshmeh Kūzān,34.11667,47.56667
Cheshmeh Kabūd,34.5555,47.3287
Cheshmeh Kabūd-e Karfelah,34.1729,47.3661
Cherāghābād,34.1544,47.8492
Cherāghābād,34.0337,47.2566
Chālāb,34.06667,47.61667
Būrbūrā,34.1004,47.562
Boq‘eh-ye Mālek,34.78333,47.58333
Boncheleh,34.7999,46.5865
Balūţ Bāzeh,34.025,47.781
Bāgh-e Yāsam,34.01667,47.31667
Azreh-ye ‘Abbāsābād,34.4329,46.6537
Āq Bolāgh-e Bālā,34.03333,47.85
Āq Bolāgh,34.01667,47.83333
Ḩoseynābād-e Amjadī,35,47.45
Ḩoseynābād,34.4832,47.4786
Ḩeydarābād,34.03333,47.08333
Ḩeşār-e Sefīd,34.3305,47.1594
Ḩasanābād-e Sanjābī,34.1356,47.9437
Ḩasanābād,34.08333,47.01667
Ḩājjīābād-e Soflá,34.1729,46.8936
Qal‘eh-ye Ḩājjīābād,34.0462,46.8946
‘Alīābād,34.7522,46.5419
Bīmak,36.31212,51.83628
Bānūlū,36.26692,52.06565
Lāskūtī,36.26523,52.07088
Sūteh Ţālār,36.2,52.05
Sardārābād,36.68333,51.38333
Razīyeh,36.16667,52.23333
Chandar Maḩalleh,36.24036,52.2293
Nūjmeh,36.27508,52.17176
Langar Chāl,36.27298,52.20119
Qāẕī Kolā,36.27036,52.23073
Kapīn,36.23311,52.25055
‘Emārat,36.23333,52.35
Mangol,36.25,52.36667
Mo`allem Kūh,36.75,51.03333
Kītājān,36.3,52.41667
Āzād Kotī,36.3,52.38333
Karsank,36.29543,52.3653
Shīrdār Khāl,36.33333,52.41667
Lālehzār,36.36667,52.5
Zavārak,36.4,52.45
Chāl Sarā,36.38333,52.38333
Sang Darkā,36.34663,52.25771
Shahrdār Maḩalleh,36.4,51.98333
Gālī Khamand,36.35473,51.93251
Sang-e Vāres̄,36.65,51.31667
Kalnak,36.36667,51.73333
Badī‘ Kheyl,36.35151,51.74957
Āstānakrūd,36.40513,51.55955
Āl Darreh,36.45485,51.48315
Taqīābād,36.43768,51.35012
Kandak,36.68333,51.3
Qal‘eh Bon,36.34178,51.41504
Kenes Darreh,36.36667,51.28333
Shīrgāh,36.47533,51.25308
Līkar Kolā,36.4,51.2
Bāb Rūdbār,36.501,51.015
Sefīdkhānī,36.51584,51.00273
Shūr Zamīn,36.526,51.043
Māzū Chāl,36.53383,51.05285
Polī Darreh,36.542,51.043
Sard Āb,36.546,51.058
Kak Neshīn,36.553,51.0492
Shīrvār,36.54903,51.00477
Lahsā Kūtī,36.56698,51.00207
Kāz̧emābād,36.60187,51.07957
Tazār,36.57296,51.05548
Zīrgāv,36.56738,51.07208
Şāf Khūnī,36.54852,51.0666
Halūdārān,36.54318,51.07512
